title,artist,id,spotifyURL,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key
Crying,King Gizzard & The Lizard Wizard,05NFZ1tWNgkZDXJWruhA3B,https://open.spotify.com/track/05NFZ1tWNgkZDXJWruhA3B,0.654,0.667,67953,0.091,0,0.419,-15.642,1,0.86,76.781,3,0.202,0
Aegis,The Mars Volta,3f5uNEIeBMCoUbDlkbpjXM,https://open.spotify.com/track/3f5uNEIeBMCoUbDlkbpjXM,0.101,0.363,413707,0.568,0.00391,0.12,-9.583,1,0.0293,139.209,4,0.259,9
Vegemite,King Gizzard & The Lizard Wizard,3qEFu8RADO3QF722CtshHm,https://open.spotify.com/track/3qEFu8RADO3QF722CtshHm,0.00182,0.509,165282,0.812,0.00727,0.385,-4.153,0,0.0578,122.016,4,0.398,6
omw,Ashe,7CanFKpPTEgaxqIu6RXBIf,https://open.spotify.com/track/7CanFKpPTEgaxqIu6RXBIf,0.578,0.799,238493,0.497,0.365,0.119,-9.185,0,0.186,113.992,4,0.458,0
Morning Coffee,Isak Thomas and The Stoop Boys,6zvtPVptAvY6wRbkPGLKff,https://open.spotify.com/track/6zvtPVptAvY6wRbkPGLKff,0.678,0.568,142659,0.187,0,0.388,-13.438,1,0.439,210.871,4,0.761,2
Conjunction Junction,Couch,3EEiCf8qXklctn4OoG11Mb,https://open.spotify.com/track/3EEiCf8qXklctn4OoG11Mb,0.189,0.748,276893,0.731,0.000107,0.0417,-4.238,1,0.0827,91.006,4,0.494,2
you right x luxurious - sped up + reverb,pearl,5xt8gXqenZmCl8F5NSnaA5,https://open.spotify.com/track/5xt8gXqenZmCl8F5NSnaA5,0.803,0.73,154175,0.469,0.000086,0.108,-8.566,0,0.0402,141.852,4,0.74,3
Gimme,GOT7,6ic8OlLUNEATToEFU3xmaH,https://open.spotify.com/track/6ic8OlLUNEATToEFU3xmaH,0.25,0.788,251240,0.844,0.000678,0.0723,-3.131,1,0.0334,113.324,4,0.382,2
Leaning on You,PREP,1BsEKaermhlrzSQpouxlmM,https://open.spotify.com/track/1BsEKaermhlrzSQpouxlmM,0.567,0.662,201440,0.575,0.000979,0.101,-8.342,1,0.0321,94.001,4,0.636,7
Over,PREP,03eyNjBM2mpx28H6kdaufN,https://open.spotify.com/track/03eyNjBM2mpx28H6kdaufN,0.161,0.658,103240,0.445,0,0.0845,-8.749,0,0.154,174.111,4,0.513,0
Leave It In My Dreams,The Voidz,31u6rUeIEXGrYVoh10U7eu,https://open.spotify.com/track/31u6rUeIEXGrYVoh10U7eu,0.0226,0.6,239442,0.746,0.0119,0.109,-4.696,0,0.0355,118.551,4,0.614,4
On Top of the World,Stephen Day,6KuHjfXHkfnIjdmcIvt9r0,https://open.spotify.com/track/6KuHjfXHkfnIjdmcIvt9r0,0.0893,0.635,189840,0.926,0.00000453,0.0928,-5.589,1,0.151,100.048,4,0.761,0
Still Life,Brasstracks,3TSLqZssCoCdDlMhCJ08XW,https://open.spotify.com/track/3TSLqZssCoCdDlMhCJ08XW,0.443,0.68,188369,0.584,0,0.0628,-4.457,1,0.034,118.06,4,0.239,8
直到我遇見了你 - Demo,Yo Lee,1wxADKPDmwqLqLua7ecfTy,https://open.spotify.com/track/1wxADKPDmwqLqLua7ecfTy,0.315,0.508,240000,0.454,0,0.227,-8.448,1,0.307,77.002,4,0.455,11
風來吹,水源,5yDY6iNojp8YmrM8ck6CeH,https://open.spotify.com/track/5yDY6iNojp8YmrM8ck6CeH,0.39,0.793,300203,0.467,0,0.301,-8.93,1,0.0711,105.036,4,0.464,10
Watching The Credits,The Beths,65yCbkRvxWK69hV6ORTK7t,https://open.spotify.com/track/65yCbkRvxWK69hV6ORTK7t,0.000768,0.379,195027,0.67,0.00214,0.131,-10.01,0,0.042,166.846,4,0.404,7
The Fun Machine Took A Shit and Died,Queens of the Stone Age,7wMEAJQ8BHSGRyFjXyCPpj,https://open.spotify.com/track/7wMEAJQ8BHSGRyFjXyCPpj,0.788,0.423,177973,0.142,0.287,0.154,-13.368,0,0.0351,115.04,4,0.0375,9
Texting Me,yunomarr,5pf4HcBcL8CpCXNPs4vLiN,https://open.spotify.com/track/5pf4HcBcL8CpCXNPs4vLiN,0.0397,0.525,117493,0.639,0,0.153,-6.492,1,0.124,120.543,5,0.182,9
Everybody,Spencer Sutherland,4RvWPyQ5RL0ao9LPZeSouE,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,0.347,0.645,251489,0.795,0.00389,0.104,-12.095,1,0.0527,112.067,4,0.535,7
Shoulda,Erez Zobary,7tAq0hZtDzyE7KWGcRYkhS,https://open.spotify.com/track/7tAq0hZtDzyE7KWGcRYkhS,0.193,0.703,217434,0.516,0.00000115,0.0951,-7.55,0,0.0597,92.06,4,0.544,0
I'm Leavin' (The Na-Na Song),Couch,23375X0SDPn584EseVu41H,https://open.spotify.com/track/23375X0SDPn584EseVu41H,0.144,0.829,255140,0.387,0.00101,0.0331,-8.265,0,0.0466,102.95,4,0.478,2
"The Light Shines Brightest In The Dark From ""Marlowe"" - From ""Marlowe""",Jon Batiste,3zQ2vKWOflKo0wH6PyvfP2,https://open.spotify.com/track/3zQ2vKWOflKo0wH6PyvfP2,0.558,0.716,214204,0.515,0.000211,0.325,-4.855,0,0.0502,121.466,4,0.686,11
live forever,almost monday,5IfBLN9VPPJOwcKmAZhdXe,https://open.spotify.com/track/5IfBLN9VPPJOwcKmAZhdXe,0.0000144,0.29,276867,0.769,0.00000835,0.375,-5.578,0,0.0329,90.248,4,0.198,9
Love Breaks Down,PREP,4FT2rFLbJhgjnzZS1RogiC,https://open.spotify.com/track/4FT2rFLbJhgjnzZS1RogiC,0.0299,0.807,203040,0.557,0.0151,0.0219,-7.485,1,0.047,99.976,4,0.758,2
Rain,PREP,01apQz7E72krU1k1b4VWs7,https://open.spotify.com/track/01apQz7E72krU1k1b4VWs7,0.0979,0.48,92693,0.865,0.00000332,0.123,-5.441,1,0.228,138.193,4,0.575,3
Danny Came Up,PREP,20XP4cNm8wqTXgi6iikmHw,https://open.spotify.com/track/20XP4cNm8wqTXgi6iikmHw,0.31,0.949,271120,0.396,0.0596,0.0783,-10.199,0,0.0575,118.008,4,0.689,10
Brother To Brother,Gino Vannelli,4OJPhocbXBf2amGoTg1pCF,https://open.spotify.com/track/4OJPhocbXBf2amGoTg1pCF,0.00602,0.395,439333,0.689,0.101,0.111,-13.232,0,0.0494,140.747,4,0.476,4
Johan Von Bronx,The Voidz,3dWaDHwsvudH9vywNjVUVf,https://open.spotify.com/track/3dWaDHwsvudH9vywNjVUVf,0.00379,0.246,361064,0.9,0.0019,0.147,-4.292,1,0.0667,146.914,4,0.136,2
You Can Be Your Silhouette,King Gizzard & The Lizard Wizard,6KNMdvLEn7CSaFjAPfGz2h,https://open.spotify.com/track/6KNMdvLEn7CSaFjAPfGz2h,0.226,0.615,229840,0.71,0.00176,0.315,-7.542,1,0.0543,134.736,4,0.365,1
Rearrange Us,Mt. Joy,1uZIL52W5zXEF55fCh5lqP,https://open.spotify.com/track/1uZIL52W5zXEF55fCh5lqP,0.657,0.792,188067,0.489,0.0205,0.111,-7.296,1,0.0263,98.973,4,0.477,9
Grammy,AJ Smith,5e574bhjycX1eH2l4Auage,https://open.spotify.com/track/5e574bhjycX1eH2l4Auage,0.00163,0.676,220427,0.432,0.00000384,0.0799,-9.51,1,0.502,145.869,4,0.12,1
Cocoa Butter,Trip Carter,0aMHIW1lqrulVCx0LLlr6a,https://open.spotify.com/track/0aMHIW1lqrulVCx0LLlr6a,0.0518,0.679,307188,0.645,0,0.145,-7.777,0,0.222,125.795,4,0.203,6
Circles,Wyn Starks,21jGcNKet2qwijlDFuPiPb,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.192,0.695,215280,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,0
SWAG午覺 (feat. 9m88),Outlander,3rGMUcRkIRBO9dggY7bTYw,https://open.spotify.com/track/3rGMUcRkIRBO9dggY7bTYw,0.399,0.609,288101,0.74,0.0000253,0.309,-3.947,0,0.104,95.923,4,0.555,7
Can't Live A Day,Avalon,1mopEOz5TeAMbz81Z63xKJ,https://open.spotify.com/track/1mopEOz5TeAMbz81Z63xKJ,0.59,0.539,286800,0.642,0.0000819,0.818,-4.303,1,0.0284,129.989,4,0.269,4
Father Electricity,The Voidz,1VeHgjA3KTfiMYM4pL1nXX,https://open.spotify.com/track/1VeHgjA3KTfiMYM4pL1nXX,0.124,0.44,443794,0.942,0.554,0.331,-5.046,1,0.175,130.446,4,0.228,2
Mind Eraser,CRUISR,6t4l1cR6SZPE5DmsVVOmzv,https://open.spotify.com/track/6t4l1cR6SZPE5DmsVVOmzv,0.00235,0.247,246831,0.954,0.00000412,0.26,-3.791,0,0.178,150.033,4,0.152,11
28,Brandon,3fajzhEHSdlSmY31dORz9M,https://open.spotify.com/track/3fajzhEHSdlSmY31dORz9M,0.794,0.464,208293,0.331,0,0.11,-6.336,1,0.0294,77.307,4,0.513,0
How'd You Know That,Junyang,7Dj1eeWtKo4QLcguVaczzN,https://open.spotify.com/track/7Dj1eeWtKo4QLcguVaczzN,0.47,0.633,215258,0.468,0.000147,0.12,-9.848,1,0.0366,96.986,4,0.311,3
birds,dempsey hope,21LkHnuxPxVrOZ5gCaG7aM,https://open.spotify.com/track/21LkHnuxPxVrOZ5gCaG7aM,0.016,0.605,209347,0.942,0,0.137,-4.549,1,0.0655,106.562,4,0.8,7
Take Me Higher,A.C.E,5sz54d9C9c7ep70DiwLkHq,https://open.spotify.com/track/5sz54d9C9c7ep70DiwLkHq,0.00162,0.461,216760,0.922,0,0.0976,-4.39,1,0.0681,136.067,4,0.342,5
Donald Trump,Mac Miller,6Aa7aDayiQHnUw1dUvdneZ,https://open.spotify.com/track/6Aa7aDayiQHnUw1dUvdneZ,0.0318,0.716,164523,0.936,0,0.367,-4.968,0,0.123,81.508,4,0.799,1
Insecure,Mykyl,360NCp4XoQ0sFi5jgu5Ww7,https://open.spotify.com/track/360NCp4XoQ0sFi5jgu5Ww7,0.537,0.512,218073,0.511,0,0.115,-4.412,0,0.324,88.816,4,0.651,7
